index,category,filename,Title,Date Created,Dimensions,Artist,mean_grayscale,mean_blue,mean_green,mean_red,std_grayscale,std_blue,std_green,std_red
38,WHITE,38.jpg, Space concept, 1960/1960," w80,5 x h110 cm", Lucio Fontana,0.7653641994396387,0.6823012241367266,0.7563605053939633,0.8135278886738685,0.04363866010921809,0.042303456108530584,0.043911819012739176,0.04418646394787479
39,WHITE,39.jpg, Woman with a laundry basket, 1974, w84 x h165 x d70 cm (variable), Duane HANSON,0.7298392692846618,0.6922192874536746,0.7312746188820434,0.7408104084145064,0.211124372470278,0.25961140187476317,0.21202518315162874,0.204883192910527
40,WHITE,40.jpg, Suprematism, 1915, w710 x h8050 mm (Complete), Kazimir Malevich,0.8046818879681626,0.773707689447182,0.8083218000732126,0.8088806002859248,0.22917221516743205,0.26408628770963055,0.2392977832632144,0.22113798048110006
41,WHITE,41.jpg," Fishing Trip, They'll Be Coming Back Next Week", 1919, w736.6 x h736.6 mm (Without frame),,0.6837455693767877,0.6351388464418217,0.6749650899974563,0.7188363105656272,0.3037942379010645,0.33901225723393685,0.3154923800537912,0.2778215380438015
42,WHITE,42.jpg, Spatial concept, 1962 - 1962,, Lucio Fontana,0.8604650546721562,0.8180879145644112,0.8603304086386673,0.8762681432441918,0.11473140682399889,0.12275085571610071,0.11598075461362853,0.10975885659800996
43,WHITE,43.jpg," Kidd on the Deck of the ""Adventure Galley""", 1902/1902, w10.75 x h16.75 in (Complete),,0.5877500826091646,0.49916081897855236,0.5877334547002562,0.6202655141612421,0.3086562278971338,0.34728010197726433,0.31030079461927906,0.29613365633130534
44,WHITE,44.jpg, Forms n. 16, 1952, 60.1 x 73.4 cm, Ivan Serpa,0.7326705050156922,0.7101689029683061,0.724469304916181,0.7570501192954395,0.19094352738731404,0.20454710688660677,0.20150203389010746,0.1831024690552649
45,WHITE,45.jpg, Place de la Concorde, 1938–1943, Overall 37 x 37 3/16 in. (93.98 x 94.46 cm), Piet Mondrian,0.7484155023828066,0.6830072097636328,0.7435722664572368,0.7819235736634578,0.30214526122147234,0.3486850063594955,0.305368492249914,0.304105530053473
46,WHITE,46.jpg," Breakwater at Trouville, Low Tide", 1870, 54 x 65.7 cm, Claude Monet,0.7863027079994691,0.6694828836412638,0.7798693424230435,0.8417889292311154,0.19525164419307195,0.2168807816348135,0.19795767972046632,0.18756575497257524
47,WHITE,47.jpg, In the Garden of Haminalahti, 1856/1857, w57.5 x h43 cm, Ferdinand von Wright,0.6105971712940808,0.5324814832382953,0.6142222659869,0.6321102373519916,0.22748585611996136,0.24913453422026446,0.22547652460836456,0.22556137463427142
48,WHITE,48.jpg, Summer Day on Conesus Lake, 1870, 24 1/8 x 36 3/8 in. (61.3 x 92.4 cm), John Frederick Kensett,0.5723679703403578,0.49219715159997585,0.568677887102743,0.6090211009124735,0.24388803444514298,0.2595514538972625,0.24451854715392604,0.23947055261058722
49,WHITE,49.jpg, Summer Sunlight (Isles of Shoals), 1892, 51.4 x 61.5 cm, Childe Hassam,0.7287036191320224,0.6970556312430963,0.736152672544076,0.7256580763142563,0.13987568514144424,0.13925468606996727,0.14025703944054646,0.14667003054381048
50,WHITE,50.jpg, The Goldfinch, 1654, h33.5 cm x w22.8 cm," Fabritius, Carel",0.6146846059147562,0.5450169411332396,0.6107271227653246,0.6480124665285278,0.22161029920340689,0.21990024164235367,0.224065597975621,0.21888230962261476
51,WHITE,51.jpg, Estado mayor de bufones, c.1946, w15 x h12 in, José Clemente Orozco,0.6999911672740017,0.6470182744881886,0.6967397249910385,0.7258090644519606,0.2927642412241202,0.2966043276021264,0.29381801258258056,0.28979789060551636
52,WHITE,52.jpg, Pitahayas, 1938,, Frida Kahlo,0.618967765513661,0.5380296968688975,0.6009026464754057,0.6841731247919761,0.24362307628377558,0.2614622698116035,0.2675910229371654,0.233330710285591
53,WHITE,53.jpg," Rosina Ferrara, Head of a Capri Girl", c. 1878, w412.75 x h495.3 x d76.2 in (frame), John Singer Sargent,0.7384700366402417,0.7187078585683065,0.7298341872449048,0.7627000057441139,0.3241569485048048,0.34280646508977275,0.32770545138297563,0.3138904963357059
54,WHITE,54.jpg, Winter Scene on a Frozen Canal, 1620, w654.1 x h368.3 cm,,0.7740789193220184,0.6705984426045936,0.778471701432566,0.8033826226343308,0.1875943989037054,0.1994580393787647,0.19121797450942649,0.17998643715517798
55,WHITE,55.jpg, Visit day at the Hospital, 1889, w950 x h1200 cm, Henri Geoffroy,0.5848598009894687,0.5113051967819352,0.5810999437797352,0.6192242083780404,0.2527437504034456,0.2393966419543268,0.2557345802804516,0.2536857384339847
56,WHITE,56.jpg, Small Tree in Late Autumn, 1911, w335 x h420 cm (Without Frame), Egon Schiele,0.698442470897657,0.6589816826811362,0.6953667016317087,0.7189604394667461,0.16901185297412427,0.1859026749172572,0.17348256791292124,0.15548240467782387
57,WHITE,57.jpg, Hot Springs of the Yellowstone, 1872, w762 x h411 cm,,0.7130741120790712,0.6494681490883771,0.7048870000694497,0.7524976187945808,0.16999854578497536,0.2111220127153426,0.18201527742774945,0.14637163435411873
58,WHITE,58.jpg," Sunset on the Lagoon, Venice", c. 1903-1904, w65.1 x h49.5 cm (without frame), Henri Edmond Cross,0.8306769752496738,0.8327588218682223,0.834590093424911,0.8222178324115732,0.10699779007757765,0.104425048088356,0.10697944972114762,0.11390273175526214
59,WHITE,59.jpg, The Church at Vétheuil, 1878," h 65.20, w 55.70 cm", Claude Monet,0.6528335601958123,0.629622855889388,0.6473654831590385,0.6720980366138227,0.1842270097746617,0.19027261358443465,0.1877002518612015,0.17831034302370627
60,WHITE,60.jpg, Veil VI, 2000, w108 x h304.8 cm (overall), Joseph Havel,0.7356345086350845,0.7305358898042779,0.7361684038108095,0.736454008360788,0.32587886422657236,0.32010806610256987,0.3261552902208111,0.32762881843883224
61,WHITE,61.jpg, The Machanism of Meaning No.2  Splitting of Meaning, 1963/1988, 244.0×173.0," Shusaku Arakawa,  Madeline Gins",0.7115578409256709,0.6778947882473427,0.7080084356416066,0.730881457299718,0.3197283168769694,0.3441855749909312,0.32274697499822924,0.30944247602630226
62,WHITE,62.jpg, Seated Male Nude (Self-Portrait), 1910, w1500 x h1525 cm (Without Frame), Egon Schiele,0.7301216319127759,0.6804749561636043,0.7319055107267827,0.7448171180199259,0.18984214012832842,0.24438751762656574,0.1948181360679085,0.16441993774609295
63,WHITE,63.jpg, Gulli Danda, 2006, 40.64 x 50.8 cm, Sukhpreet Singh,0.8253900767729848,0.7670811034863171,0.828878522798028,0.8399094231288451,0.09547164366471113,0.13460777386817363,0.09938877211731433,0.09000403406105252
64,WHITE,64.jpg, Frosty sunrise, 1917, 44.8 x 48.2 sight; 60.0 x 63.5 x 5.5 cm frame, Elioth Gruner,0.6488135502646993,0.543614696845881,0.6496428341978525,0.6857555381163989,0.17631793568609438,0.16529850336430277,0.1782168560562008,0.17914324796226094
65,WHITE,65.jpg, Song of the last Bauhaus party February 1933, 1977, 49.5 x 60.0 cm, Carl (Karl) Marx,0.6168264302893731,0.5681139632204586,0.6201737284242974,0.628104648549291,0.30732743159657117,0.30250922572035155,0.3087466755959305,0.31528348572094184
66,WHITE,66.jpg, The author August Strindberg, 1899, w390 x h560 cm (without frame), Carl Larsson,0.792888727306497,0.7686090377928673,0.7895491951335547,0.8083590267349475,0.11074092642042388,0.11750753878879999,0.10936093887381759,0.11143801746849522
67,WHITE,67.jpg, Melancholia, 1640s, w16.13 x h11.13 in (Sheet),,0.681180296128087,0.565104207633507,0.6706014847834018,0.7445465242206469,0.10407897260117484,0.1179139036933544,0.10596175404458,0.09748139784407324
68,WHITE,68.jpg, Tarde em Toulon, 1893, w65 x h40 cm, Giovanni Battista Castagneto,0.6633392147456008,0.5938598824478092,0.6590430466299965,0.697264100548813,0.17831282830235298,0.20907330191065657,0.18546886330037232,0.16610626707352755
69,WHITE,69.jpg, No Swimming, 1921, w558.8 x h635 mm (Without frame),,0.6382556923268444,0.5948442674643581,0.6253907848801312,0.6794741994216258,0.301394132564166,0.3014848327130053,0.3090081212136471,0.28958646745335836
70,WHITE,70.jpg," L'Île Lacroix, Rouen (The Effect of Fog)", 1888, w22 x h18.39 in (Overall),,0.7435178767032949,0.6725086907242968,0.7476956196027597,0.7613383505266472,0.15051902039386983,0.13081673820065576,0.15030340918330806,0.1594350641438691
71,WHITE,71.jpg, A Fight, 1935 - 1935, w39.5 x h53.2 cms (without frame), LS Lowry,0.5686718147537266,0.5599573614622793,0.5743876964682105,0.560625880255439,0.2845090154637822,0.2778728210020846,0.28508243951638945,0.2889373158918898
72,WHITE,72.jpg, PH-1039, 1977, h113 x w93 in, Clyfford Still,0.7117740533770284,0.700839821480144,0.7112772167426312,0.7167603837868683,0.21198142909831932,0.11022058798878238,0.21046243790638378,0.2550607708149143
73,WHITE,73.jpg, Still life (vases and bottles), 1948 - 1948,, Giorgio Morandi,0.8486841419824878,0.7506120683633619,0.8482521581957,0.8854934704235176,0.09399147233528134,0.0864614086560668,0.10038738798898818,0.08924516126997335
74,WHITE,74.jpg, A Summer's Day on the Seine, ca.1870-1875, 57.1 x 40 cm, Martín Rico Ortega,0.6355374070909586,0.5574101371402197,0.6379170762099816,0.6595040568054843,0.20794633712554936,0.21479364440330334,0.20373013595476233,0.2167736110678084
75,WHITE,75.jpg, Accord réciproque (Reciprocal Accords), 1942, w 146 x h 114 cm," Kandinsky, Vassily",0.6423388426791267,0.6032825109343312,0.6309331543251276,0.6790906847484169,0.2506253459656411,0.26834284161825417,0.26170299644364664,0.24718938314106573
76,WHITE,76.jpg," Charing Cross Bridge, London", 1890, overall 60 x 90 cm (23 5/8 x 35 7/16 in.)framed 71.8 x 104.1 x 4.1 cm (28 1/4 x 41 x 1 5/8 in.), Camille Pissarro,0.7683580028016063,0.7052127133452979,0.7752471920389385,0.7779625367688341,0.11602239571288833,0.08677952211971073,0.11477620438713758,0.1338799076477038
77,WHITE,77.jpg," Catch, The", 1919, w736.6 x h736.6 mm (Without frame),,0.593206375606209,0.5476051948405448,0.580453801012285,0.6350068719216704,0.3246707494950436,0.35334915004506695,0.33780437094518556,0.2983914658442077
78,WHITE,78.jpg, Cochlea Brick Tuft, 2020/2020,, Hamish Pearch,0.7911882258073232,0.7585961465601666,0.7833622040105124,0.818529831065009,0.11770027330462467,0.16402349863097443,0.12496483417681842,0.09512536603239112
79,WHITE,79.jpg, Bank of a River in Bloom, 1880 - 1885," w84,5 x h100 cm (Complete)", Ladislav Mednyánszky,0.6129428912987481,0.5315425307605307,0.6100918277670467,0.6483967817751073,0.19134461914723025,0.2019924557517383,0.1927094902480744,0.18596603651601287
80,WHITE,80.jpg, Simple Complexity, 1939," 100,5 x 82 cm"," Kandinsky, Vassily",0.6708707043984902,0.6190643739045905,0.664440992638928,0.7025114587067258,0.21409235207940797,0.22352381204765925,0.22140511164346166,0.20991951607428788
81,WHITE,81.jpg, La Jetee de Trouville, Not dated,, Louis Eugéne Boudin,0.7566766874435471,0.7614216101571946,0.7671665646936336,0.7343067905233727,0.08498869662143323,0.10895689289282393,0.08363601795809586,0.09650811693772472
82,WHITE,82.jpg, Self Portrait as a Rice Farmer, 2010, w53 x h72.8 mm, Not Vital,0.7333284558400727,0.7326364742428528,0.7369105353254003,0.7265374261045762,0.28750239619491735,0.2877118197566281,0.28894237584906307,0.28472821735366227
83,WHITE,83.jpg," A Wreck, with Fishing Boats", c.1840-5, 914 x 1222 mm, Joseph Mallord William Turner,0.681713393532448,0.6036835981930259,0.6813746004888702,0.710990611475939,0.12925094355453637,0.1584060034404622,0.1331052028851224,0.11347843540608779
84,WHITE,84.jpg, Running Horse, 1994/1996,, Yuan Xikun,0.8016245611106673,0.7662781283955571,0.8016344906221837,0.8145653917335597,0.21571500474621672,0.236382836595533,0.2232575434214654,0.19914796649435756
85,WHITE,85.jpg, Mending nets, 2009, w100 x h80 cm,,0.5575170617196035,0.5703415986529553,0.5643360975130389,0.539403961116952,0.3034382219780486,0.29643009903992057,0.3021655540308839,0.31549089010165554
86,WHITE,86.jpg, Hopscotch -Chhatappu, 2006, 40.64 x 50.8 cm, Sukhpreet Singh,0.7977693904374313,0.7049646957150713,0.7981482337650225,0.8310527199580342,0.11944107651938769,0.15269897931890095,0.12583553765871797,0.1218673838517381
87,WHITE,87.jpg, The Bookworm (Man with Nose in Book), 1926, 32 x 26 in., Norman Percevel Rockwell,0.6916107292042559,0.6451360864651264,0.6970130807684466,0.6980268067990296,0.2651729693497536,0.2710501171062883,0.26420203580203844,0.26925508277262056
88,WHITE,88.jpg, Dandenongs from Heidelberg, c.1889, w23.5 x h11.5 cm, Charles CONDER,0.6981321614540333,0.6450699991333794,0.7026873446762572,0.7086297606345665,0.17220555127339715,0.18260609398276217,0.17919545764889713,0.16175955389889118
89,WHITE,89.jpg, Rue Eugène Moussoir at Moret Winter, 1891, 18 3/8 x 22 1/4 in. (46.7 x 56.5 cm), Alfred Sisley,0.7367715033506996,0.7206867558545431,0.724210519574119,0.7673725121932328,0.09662132500190161,0.11078961415009667,0.09952167876456611,0.09240074059769497
90,WHITE,90.jpg, Steamboats in the Port of Rouen, 1896, 18 x 21 1/2 in. (45.7 x 54.6 cm), Camille Pissarro,0.7053742182150858,0.6589482187142433,0.6971602661826399,0.7385511903625377,0.17066981397791614,0.1766430288601179,0.17392192067374404,0.1644409813568217
91,WHITE,91.jpg, Purple Horse III, 1999,, Yuan Xikun,0.7568423180682005,0.7702954455981375,0.7507719028368117,0.7638479879289546,0.2710227217151621,0.2546668918512478,0.27925550801934035,0.2627865890992788
92,WHITE,92.jpg," Waun-naw-con, The Dish (John W. Quinney), a Missionary Preacher", 1836, 29 x 24 in. (73.7 x 60.9 cm)," George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872",0.6954053737286645,0.5994382376658162,0.6823579847887056,0.7562531885336278,0.1467161217508686,0.14970610340820986,0.15106471659691909,0.14024215362347636
93,WHITE,93.jpg, Trabalhadores de cal, 1974,, Djanira,0.8203272791973611,0.8051772279306442,0.8205949901319326,0.825355799823834,0.12577191814341712,0.13477819507351266,0.1313299175579635,0.1127211643576329
94,WHITE,94.jpg, The Mule Pack, c. 1901, w101.9 x h68.6 cm (without frame), Frederic Remington,0.6703050829003732,0.6671141471521905,0.6709486534255834,0.670209403975127,0.29532463433489853,0.2948898932863323,0.2959124446006514,0.29452007103446765
95,WHITE,95.jpg, The Virtue Wagon, 1922, w406.4 x h311.15 in (Unframed), Paul Klee,0.8489655267102297,0.8275635410080703,0.8485155868633117,0.8576978031666281,0.1363561733097322,0.1456200543506154,0.13878160485768576,0.13083534956426104
96,WHITE,96.jpg, Fire Bridge, 1964/1965, 48 x 48 in. (121.9 x 121.9 cm), Robert Indiana,0.649129745523744,0.6454559555553687,0.6311598366750267,0.6858176225812928,0.3945652364636491,0.37076901529287076,0.41355471646132325,0.39555731820068235
97,WHITE,97.jpg, Oil Lamp, 1830–40, 13 1/2 x 3 1/8 in. (34.3 x 7.9 cm), New England Glass Company,0.7665474372745762,0.7665566478712056,0.7665410366904778,0.7665566478712056,0.17439160447931878,0.17438343438662252,0.17439735345254398,0.17438343438662252
98,WHITE,98.jpg, Portrait of Princess Elisabeth of Saxony, 1564, w28.5 x h38.8 cm, Lucas Cranach the Younger,0.6758098890425323,0.5559759099467039,0.6757294774517508,0.7199071575062057,0.08366973920626711,0.10922489327080667,0.08826373041113666,0.06826458132809533
99,WHITE,99.jpg, Nonexistence, 2007, w380 x h380 cm," Ji, Seok Cheol",0.6722654429102123,0.6163172063832115,0.656540174072671,0.7237061583506108,0.14822022114686606,0.15230884766674999,0.168111067054056,0.125977000718011
100,WHITE,100.jpg, The Disillusioned One, 1892, 22 1/8 x 17 3/4 in. (56.2 x 45.08 cm), Ferdinand Hodler,0.6305986303390488,0.5373198284611439,0.6318475692290818,0.662344611210549,0.2623217891039009,0.23212033877838645,0.26268275183052514,0.2741509694892511
101,WHITE,101.jpg," Beach Scene, Tangier", c. 1911, w31.5 x h22.6 cm (overall (sight)), James Wilson Morrice,0.7448875472613486,0.7028388932153209,0.74777279487569,0.7546310667700207,0.12160787555572478,0.12010944947480882,0.11968110508067886,0.14060437070176773
102,WHITE,102.jpg, Landscape in Cumberland, 1951 - 1951, w58.7 x h15.9 cms (without frame), LS Lowry,0.6058089739871696,0.5859013025128598,0.6108966441765593,0.6031027021552838,0.2798656627255488,0.2728440954103362,0.27753656322927955,0.2878287330401404
103,WHITE,103.jpg, Model of this planet, 2018/2019, 180x330x60cm, Masato Kobayashi,0.6904522575068263,0.5411261545518901,0.664338439190148,0.7965623379464373,0.1897770372380755,0.27897211282908435,0.2170782813801207,0.12661022188012544
104,WHITE,104.jpg, A Dragoon on Horseback, 1876, 9 1/2 x 5 3/8 in. (24.1 x 13.7 cm), Édouard Detaille,0.5041182034573162,0.5041272959693734,0.5041118849319883,0.5041272959693734,0.3400866618942978,0.3400842501903805,0.3400883741004544,0.3400842501903805
105,WHITE,105.jpg, Oil Lamp, 1830–40, 13 1/2 x 3 1/8 in. (34.3 x 7.9 cm), New England Glass Company,0.7665474372745762,0.7665566478712056,0.7665410366904778,0.7665566478712056,0.17439160447931878,0.17438343438662252,0.17439735345254398,0.17438343438662252
106,WHITE,106.jpg, Lake George, 1857, 20 5/16 x 29 7/8 in. (51.6 x 75.9 cm), John William Casilear,0.6072678664459485,0.4825510030283689,0.6081376281692951,0.6512868516431468,0.28084342893791103,0.28915880741591365,0.2811420862922169,0.28241065542413024
